"Step","[256, 256, 256, 128], lr=0.0005, alt-cropped-validation - train_loss_no_temperature_epoch","[256, 256, 256, 128], lr=0.0005, alt-cropped-validation - train_loss_no_temperature_epoch__MIN","[256, 256, 256, 128], lr=0.0005, alt-cropped-validation - train_loss_no_temperature_epoch__MAX"
"31","5.832296371459961","5.832296371459961","5.832296371459961"
"64","5.747970104217529","5.747970104217529","5.747970104217529"
"97","5.731061935424805","5.731061935424805","5.731061935424805"
"130","5.714747428894043","5.714747428894043","5.714747428894043"
"163","5.709880352020264","5.709880352020264","5.709880352020264"
"196","5.702916622161865","5.702916622161865","5.702916622161865"
"229","5.695682048797607","5.695682048797607","5.695682048797607"
"262","5.692539691925049","5.692539691925049","5.692539691925049"
"295","5.688467979431152","5.688467979431152","5.688467979431152"
"328","5.690000057220459","5.690000057220459","5.690000057220459"
"360","5.690771102905273","5.690771102905273","5.690771102905273"
"393","5.685142993927002","5.685142993927002","5.685142993927002"
"426","5.686497211456299","5.686497211456299","5.686497211456299"
"459","5.680740833282471","5.680740833282471","5.680740833282471"
"492","5.684235572814941","5.684235572814941","5.684235572814941"
"525","5.68129825592041","5.68129825592041","5.68129825592041"
"558","5.6819329261779785","5.6819329261779785","5.6819329261779785"
"591","5.685190677642822","5.685190677642822","5.685190677642822"
"624","5.6818013191223145","5.6818013191223145","5.6818013191223145"
"657","5.650376796722412","5.650376796722412","5.650376796722412"
"689","5.652132511138916","5.652132511138916","5.652132511138916"
"722","5.6541032791137695","5.6541032791137695","5.6541032791137695"
"755","5.65304708480835","5.65304708480835","5.65304708480835"
"788","5.653116703033447","5.653116703033447","5.653116703033447"
"821","5.657948970794678","5.657948970794678","5.657948970794678"
"854","5.654090404510498","5.654090404510498","5.654090404510498"
"887","5.651559829711914","5.651559829711914","5.651559829711914"
"920","5.652573585510254","5.652573585510254","5.652573585510254"
"953","5.65281343460083","5.65281343460083","5.65281343460083"
"986","5.652453422546387","5.652453422546387","5.652453422546387"
"1018","5.650938510894775","5.650938510894775","5.650938510894775"
"1051","5.6518402099609375","5.6518402099609375","5.6518402099609375"
"1084","5.6521992683410645","5.6521992683410645","5.6521992683410645"
"1117","5.652010917663574","5.652010917663574","5.652010917663574"
"1150","5.637983798980713","5.637983798980713","5.637983798980713"
"1183","5.638691425323486","5.638691425323486","5.638691425323486"
"1216","5.639742374420166","5.639742374420166","5.639742374420166"
"1249","5.638794422149658","5.638794422149658","5.638794422149658"
"1282","5.638463497161865","5.638463497161865","5.638463497161865"
"1315","5.638189315795898","5.638189315795898","5.638189315795898"
"1347","5.637526512145996","5.637526512145996","5.637526512145996"
"1380","5.637482643127441","5.637482643127441","5.637482643127441"
"1413","5.6377272605896","5.6377272605896","5.6377272605896"
"1446","5.637540340423584","5.637540340423584","5.637540340423584"
"1479","5.637233734130859","5.637233734130859","5.637233734130859"
"1512","5.630619525909424","5.630619525909424","5.630619525909424"
"1545","5.630334377288818","5.630334377288818","5.630334377288818"
"1578","5.630936622619629","5.630936622619629","5.630936622619629"
"1611","5.630466461181641","5.630466461181641","5.630466461181641"
"1644","5.630958080291748","5.630958080291748","5.630958080291748"
"1676","5.629684925079346","5.629684925079346","5.629684925079346"
"1709","5.630037784576416","5.630037784576416","5.630037784576416"
"1742","5.630074501037598","5.630074501037598","5.630074501037598"
"1775","5.6301045417785645","5.6301045417785645","5.6301045417785645"
"1808","5.629504203796387","5.629504203796387","5.629504203796387"
"1841","5.629410743713379","5.629410743713379","5.629410743713379"
"1874","5.629330635070801","5.629330635070801","5.629330635070801"
"1907","5.629655838012695","5.629655838012695","5.629655838012695"
"1940","5.628852844238281","5.628852844238281","5.628852844238281"
"1973","5.62949800491333","5.62949800491333","5.62949800491333"
"2005","5.629364013671875","5.629364013671875","5.629364013671875"
"2038","5.629232406616211","5.629232406616211","5.629232406616211"
"2071","5.628695487976074","5.628695487976074","5.628695487976074"
"2104","5.628636837005615","5.628636837005615","5.628636837005615"
"2137","5.625548839569092","5.625548839569092","5.625548839569092"
"2170","5.624952793121338","5.624952793121338","5.624952793121338"
"2203","5.625136375427246","5.625136375427246","5.625136375427246"
"2236","5.624630451202393","5.624630451202393","5.624630451202393"
"2269","5.625286102294922","5.625286102294922","5.625286102294922"
"2302","5.624287128448486","5.624287128448486","5.624287128448486"
"2334","5.624914646148682","5.624914646148682","5.624914646148682"
"2367","5.624993801116943","5.624993801116943","5.624993801116943"
"2400","5.624549865722656","5.624549865722656","5.624549865722656"
"2433","5.622212886810303","5.622212886810303","5.622212886810303"
"2466","5.621616363525391","5.621616363525391","5.621616363525391"
"2499","5.622412204742432","5.622412204742432","5.622412204742432"
"2532","5.621876239776611","5.621876239776611","5.621876239776611"
"2565","5.622036933898926","5.622036933898926","5.622036933898926"
"2598","5.62186861038208","5.62186861038208","5.62186861038208"
"2631","5.621799468994141","5.621799468994141","5.621799468994141"